time,x
2015-10-11,34
2015-10-18,36
2015-10-25,37
2015-11-01,40
2015-11-08,47
2015-11-15,38
2015-11-22,28
2015-11-29,36
2015-12-06,42
2015-12-13,36
2015-12-20,26
2015-12-27,25
2016-01-03,31
2016-01-10,35
2016-01-17,38
2016-01-24,41
2016-01-31,37
2016-02-07,36
2016-02-14,39
2016-02-21,38
2016-02-28,40
2016-03-06,48
2016-03-13,42
2016-03-20,42
2016-03-27,43
2016-04-03,45
2016-04-10,42
2016-04-17,38
2016-04-24,41
2016-05-01,44
2016-05-08,40
2016-05-15,43
2016-05-22,40
2016-05-29,38
2016-06-05,43
2016-06-12,43
2016-06-19,48
2016-06-26,44
2016-07-03,35
2016-07-10,39
2016-07-17,39
2016-07-24,39
2016-07-31,41
2016-08-07,40
2016-08-14,39
2016-08-21,42
2016-08-28,40
2016-09-04,46
2016-09-11,50
2016-09-18,47
2016-09-25,49
2016-10-02,54
2016-10-09,49
2016-10-16,55
2016-10-23,56
2016-10-30,58
2016-11-06,53
2016-11-13,55
2016-11-20,47
2016-11-27,57
2016-12-04,60
2016-12-11,60
2016-12-18,50
2016-12-25,40
2017-01-01,47
2017-01-08,57
2017-01-15,57
2017-01-22,64
2017-01-29,70
2017-02-05,67
2017-02-12,69
2017-02-19,70
2017-02-26,72
2017-03-05,71
2017-03-12,68
2017-03-19,72
2017-03-26,78
2017-04-02,70
2017-04-09,72
2017-04-16,77
2017-04-23,76
2017-04-30,75
2017-05-07,77
2017-05-14,77
2017-05-21,73
2017-05-28,72
2017-06-04,75
2017-06-11,77
2017-06-18,77
2017-06-25,71
2017-07-02,65
2017-07-09,78
2017-07-16,74
2017-07-23,75
2017-07-30,77
2017-08-06,69
2017-08-13,68
2017-08-20,69
2017-08-27,76
2017-09-03,71
2017-09-10,85
2017-09-17,80
2017-09-24,86
2017-10-01,89
2017-10-08,87
2017-10-15,86
2017-10-22,89
2017-10-29,86
2017-11-05,90
2017-11-12,87
2017-11-19,70
2017-11-26,83
2017-12-03,88
2017-12-10,88
2017-12-17,74
2017-12-24,52
2017-12-31,67
2018-01-07,76
2018-01-14,75
2018-01-21,87
2018-01-28,97
2018-02-04,82
2018-02-11,86
2018-02-18,83
2018-02-25,92
2018-03-04,90
2018-03-11,86
2018-03-18,87
2018-03-25,85
2018-04-01,89
2018-04-08,88
2018-04-15,87
2018-04-22,92
2018-04-29,88
2018-05-06,96
2018-05-13,89
2018-05-20,84
2018-05-27,75
2018-06-03,91
2018-06-10,90
2018-06-17,88
2018-06-24,83
2018-07-01,68
2018-07-08,80
2018-07-15,82
2018-07-22,86
2018-07-29,85
2018-08-05,86
2018-08-12,75
2018-08-19,85
2018-08-26,86
2018-09-02,82
2018-09-09,90
2018-09-16,94
2018-09-23,89
2018-09-30,90
2018-10-07,89
2018-10-14,93
2018-10-21,97
2018-10-28,95
2018-11-04,96
2018-11-11,90
2018-11-18,65
2018-11-25,90
2018-12-02,95
2018-12-09,83
2018-12-16,71
2018-12-23,52
2018-12-30,65
2019-01-06,83
2019-01-13,86
2019-01-20,86
2019-01-27,92
2019-02-03,95
2019-02-10,93
2019-02-17,97
2019-02-24,91
2019-03-03,95
2019-03-10,88
2019-03-17,93
2019-03-24,90
2019-03-31,100
2019-04-07,91
2019-04-14,91
2019-04-21,96
2019-04-28,94
2019-05-05,87
2019-05-12,92
2019-05-19,81
2019-05-26,79
2019-06-02,90
2019-06-09,87
2019-06-16,92
2019-06-23,92
2019-06-30,79
2019-07-07,85
2019-07-14,91
2019-07-21,83
2019-07-28,86
2019-08-04,85
2019-08-11,83
2019-08-18,86
2019-08-25,85
2019-09-01,81
2019-09-08,83
2019-09-15,100
2019-09-22,96
2019-09-29,89
2019-10-06,96
2019-10-13,88
2019-10-20,91
2019-10-27,88
2019-11-03,92
2019-11-10,93
2019-11-17,88
2019-11-24,72
2019-12-01,94
2019-12-08,88
2019-12-15,77
2019-12-22,54
2019-12-29,56
2020-01-05,82
2020-01-12,88
2020-01-19,88
2020-01-26,91
2020-02-02,84
2020-02-09,89
2020-02-16,96
2020-02-23,100
2020-03-01,85
2020-03-08,78
2020-03-15,69
2020-03-22,71
2020-03-29,74
2020-04-05,79
2020-04-12,78
2020-04-19,84
2020-04-26,86
2020-05-03,86
2020-05-10,81
2020-05-17,77
2020-05-24,77
2020-05-31,79
2020-06-07,77
2020-06-14,78
2020-06-21,81
2020-06-28,70
2020-07-05,77
2020-07-12,86
2020-07-19,83
2020-07-26,81
2020-08-02,77
2020-08-09,79
2020-08-16,83
2020-08-23,81
2020-08-30,85
2020-09-06,77
2020-09-13,79
2020-09-20,81
2020-09-27,84
2020-10-04,71
